timestamp,seed,concurrency,gpu_memory,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,min_ms,max_ms,throughput_tok_s,total_tokens,total_time_s,successful_requests,failed_requests,total_requests,completion_rate,status,crash_reason,crash_time_s,startup_time_s,memory_max_mb,memory_mean_mb
2025-12-11T05:40:42.978931,42,16,0.7,1006.6387705003308,1070.0841921001484,1071.2052026499123,1072.4481652399618,1015.7443608399943,889.1085169998405,1080.034163000164,1828.4522932176276,12800,7.000456094741821,100,0,100,1.0,SUCCESS,,,26.063621997833252,69585.0,69584.55737704918
2025-12-11T05:41:27.383947,43,16,0.7,1028.781609500129,1043.9869192997776,1044.711197799893,1046.6093400899126,1024.4950013799598,877.0693229998869,1046.6891429996394,1810.8262719424908,12800,7.068596363067627,100,0,100,1.0,SUCCESS,,,26.063775777816772,69588.0,69587.32258064517
2025-12-11T05:42:11.801285,44,16,0.7,1024.76113050011,1067.2021281997786,1068.1168772502133,1069.220320960153,1021.0249401599914,882.451164000031,1069.5911709999564,1820.588344707286,12800,7.030694246292114,100,0,100,1.0,SUCCESS,,,26.064996242523193,69584.0,69583.62903225806
2025-12-11T05:26:32.819033,42,1,0.7,810.3899180000553,821.6076912997323,822.3619276998306,825.3750141003411,813.7720903099807,808.5839039999883,835.0058429996352,157.28071270485347,12800,81.38315105438232,100,0,100,1.0,SUCCESS,,,26.064194917678833,69583.0,69582.13295615275
2025-12-11T05:28:31.922164,43,1,0.7,813.9255460000641,824.7214380999139,825.7666453998354,832.7849757899457,817.4511753599791,811.3615259999278,837.6303119998738,156.57345591820032,12800,81.75076627731323,100,0,100,1.0,SUCCESS,,,26.063410997390747,69583.0,69582.06188466949
2025-12-11T05:30:31.049080,44,1,0.7,814.3387590000657,825.1497601997926,826.1803256502162,829.6018839600492,817.2594853400144,811.3217259997327,836.8510559998867,156.60947420629392,12800,81.73196458816528,100,0,100,1.0,SUCCESS,,,26.06366801261902,69582.0,69581.99437412096
2025-12-11T05:31:53.043154,42,2,0.7,848.0771649997223,863.1738939001025,864.0102446001265,871.4407616100243,851.875438079992,843.3469819997299,872.9563139995662,300.46178088370897,12800,42.60109210014343,100,0,100,1.0,SUCCESS,,,28.067279815673828,69584.0,69583.98382749326
2025-12-11T05:33:12.752151,43,2,0.7,851.4098804998866,858.2370407998496,859.7628290500779,864.7517208901718,848.1180141399682,839.3138930000532,864.8581349998494,301.793955065038,12800,42.41304302215576,100,0,100,1.0,SUCCESS,,,26.065081357955933,69585.0,69584.24932249323
2025-12-11T05:34:33.229920,44,2,0.7,860.795989999815,871.757837199857,875.0787118996641,900.4049285397878,862.3152439299884,849.6404099996653,901.1847059996398,296.8248847449568,12800,43.123069047927856,100,0,100,1.0,SUCCESS,,,26.06485939025879,69585.0,69584.11436170213
2025-12-11T05:35:32.456858,42,4,0.7,876.2874934998308,898.74228280014,908.2775682001511,915.6985805601835,876.789715000009,855.0865349998276,915.7043780001004,583.7375858117094,12800,21.927661180496216,100,0,100,1.0,SUCCESS,,,26.062238693237305,69585.0,69584.34031413612
2025-12-11T05:36:31.674167,43,4,0.7,876.6017035000004,887.9703227999926,894.438790250365,901.7397935600138,876.5835283799971,857.4594819997401,901.7725190001329,583.7856870024334,12800,21.925854444503784,100,0,100,1.0,SUCCESS,,,26.06422758102417,69584.0,69583.55497382199
2025-12-11T05:37:30.901977,44,4,0.7,874.3833864998578,892.4708611999449,904.4683400501754,913.9533994998374,876.5051347099777,854.3574450000051,914.3086609997226,583.7807609949385,12800,21.926039457321167,100,0,100,1.0,SUCCESS,,,26.06437587738037,69590.0,69588.46596858639
2025-12-11T05:38:20.170986,42,8,0.7,914.7375129998636,952.0584076000432,962.8690880002296,963.0284842000174,918.3255858400162,875.2509300002203,963.0882010001187,1073.8233701467288,12800,11.920023679733276,100,0,100,1.0,SUCCESS,,,26.063892364501953,69585.0,69584.65384615384
2025-12-11T05:39:09.414442,43,8,0.7,917.2717260000809,934.458240199956,936.6619413999615,937.0451248800828,918.0962876200009,886.4477269999043,937.116690000039,1073.6091473815666,12800,11.922402143478394,100,0,100,1.0,SUCCESS,,,26.064116716384888,69586.0,69585.64423076923
2025-12-11T05:39:58.689919,44,8,0.7,917.4990559999969,957.8755437000382,965.2079583000841,965.9817930401323,920.973012509985,871.0766559997865,966.0418899998149,1071.1302371011095,12800,11.949994087219238,100,0,100,1.0,SUCCESS,,,26.062817811965942,69584.0,69583.125
2025-12-11T05:58:23.380084,42,16,0.75,1032.8405329996713,1075.5224541001553,1076.4599020505557,1083.6137347903696,1024.5342185100071,901.2801320004655,1083.6324249994504,1816.6004795895622,12800,7.046128273010254,100,0,100,1.0,SUCCESS,,,28.067487001419067,74385.0,74384.08064516129
2025-12-11T05:59:07.769984,43,16,0.75,1023.7136904997897,1040.776602299411,1040.9223536001718,1041.8024746703395,1020.6656987999396,898.7020309996296,1043.2940749997215,1816.3266809907918,12800,7.047190427780151,100,0,100,1.0,SUCCESS,,,26.06426978111267,74384.0,74383.04838709677
2025-12-11T05:59:52.165106,44,16,0.75,1037.0175114999256,1079.3015891999858,1080.2555084998858,1080.7011645702369,1030.6914019499434,884.8919319998458,1081.2361179996515,1805.2664988743793,12800,7.090365886688232,100,0,100,1.0,SUCCESS,,,26.063819885253906,74388.0,74386.74193548386
